,business_id,cat
0,173423,6
3,45614,6
6,6283,6
9,5838,6
12,184796,6
24,162829,6
28,31098,6
35,734,6
103,157461,6
106,141204,6
129,152737,6
170,19020,6
175,2793,6
193,179563,6
196,2205,6
199,52859,6
202,151539,6
206,144289,6
352,160771,6
369,68574,6
372,11447,6
394,9500,6
412,83071,6
424,3185,6
446,63653,6
453,142496,6
470,129790,6
481,103542,6
484,13742,6
487,113439,6
509,184848,6
606,171490,6
657,49722,6
684,183181,6
729,76400,6
747,168345,6
752,101310,6
761,15738,6
807,148147,6
839,84538,6
877,81474,6
890,92830,6
904,107916,6
918,73604,6
926,161269,6
940,45141,6
944,20975,6
951,142139,6
962,171925,6
993,158199,6
1015,129254,6
1024,147517,6
1027,158176,6
1047,74603,6
1073,158996,6
1107,41342,6
1114,61904,6
1123,138551,6
1188,151457,6
1194,136858,6
1202,172225,6
1301,127214,6
1388,138688,6
1398,70982,6
1406,128822,6
1411,44803,6
1415,123333,6
1419,129986,6
1452,104068,6
1494,140749,6
1499,46758,6
1507,55100,6
1530,185740,6
1537,76925,6
1543,102590,6
1581,9300,6
1585,151747,6
1594,113389,6
1599,65704,6
1624,60585,6
1648,182715,6
1652,51415,6
1659,42017,6
1668,57881,6
1684,171622,6
1697,49036,6
1842,180565,6
1857,91809,6
1905,86208,6
1931,169180,6
1940,78634,6
2003,84387,6
2011,95781,6
2018,109876,6
2027,63085,6
2043,60318,6
2060,9022,6
2073,149973,6
2085,68896,6
2137,175511,6
2147,19395,6
2246,10651,6
2262,56697,6
2265,106096,6
2268,49201,6
2289,53553,6
2307,51754,6
2370,83801,6
2380,113623,6
2409,73075,6
2446,115172,6
2461,23415,6
2479,82429,6
2485,42716,6
2503,102518,6
2536,26232,6
2549,69220,6
2570,110890,6
2581,189415,6
2590,86177,6
2595,157710,6
2641,130661,6
2647,190911,6
2712,185110,6
2733,40932,6
2747,14051,6
2760,50864,6
2765,177881,6
2778,165230,6
2786,61246,6
2805,166401,6
2813,95978,6
2827,158049,6
2836,102728,6
2858,146513,6
2869,51165,6
2921,156857,6
2942,41108,6
2976,161034,6
