"","business_id","stars","cat"
"0",173463,1,1
"1",173463,1,1
"2",173463,2,1
"3",173463,1,1
"4",14859,1,1
"5",14859,1,1
"6",14859,5,1
"7",14859,1,1
"8",14859,1,1
"9",14859,2,1
"10",64109,3,1
"11",64109,2,1
"12",64109,2,1
"13",77221,4,1
"14",77221,1,1
"15",77221,1,1
"16",77221,2,1
"17",40356,1,1
"18",40356,4,1
"19",40356,1,1
"20",40356,3,1
"21",40356,5,1
"22",75009,2,1
"23",75009,1,1
"24",75009,3,1
"25",75009,1,1
"26",75009,5,1
"27",176601,2,1
"28",176601,2,1
"29",176601,1,1
"30",176601,1,1
"31",176601,5,1
"32",176601,5,1
"33",176601,3,1
"34",176601,3,1
"35",135683,2,1
"36",135683,5,1
"37",135683,3,1
"38",128970,1,1
"39",128970,1,1
"40",128970,1,1
"41",12101,3,1
"42",12101,4,1
"43",12101,3,1
"44",12101,1,1
"45",12101,3,1
"46",135801,5,1
"47",135801,1,1
"48",135801,4,1
"49",9964,3,1
"50",9964,1,1
"51",9964,1,1
"52",9964,1,1
"53",9964,4,1
"54",95799,1,1
"55",95799,1,1
"56",95799,1,1
"57",95799,1,1
"58",95799,3,1
"59",87221,1,1
"60",87221,1,1
"61",87221,5,1
"62",87221,1,1
"63",87221,1,1
"64",87221,1,1
"65",87221,3,1
"66",87221,1,1
"67",87221,1,1
"68",144471,1,1
"69",144471,2,1
"70",144471,3,1
"71",144471,2,1
"72",147545,1,1
"73",147545,4,1
"74",147545,3,1
"75",147545,5,1
"76",147545,2,1
"77",147545,2,1
"78",147545,3,1
"79",147545,1,1
"80",23861,1,1
"81",23861,2,1
"82",23861,5,1
"83",23861,5,1
"84",52134,1,1
"85",52134,1,1
"86",52134,3,1
"87",123906,2,1
"88",123906,5,1
"89",123906,2,1
"90",167367,1,1
"91",167367,4,1
"92",167367,1,1
"93",167367,2,1
"94",167367,1,1
"95",167367,1,1
"96",102990,1,1
"97",102990,1,1
"98",102990,1,1
"99",102990,3,1
"100",102990,1,1
"101",102990,4,1
"102",143464,4,1
"103",143464,1,1
"104",143464,1,1
"105",143464,4,1
"106",80349,4,1
"107",80349,5,1
"108",80349,5,1
"109",80349,4,1
"110",80349,4,1
"111",80349,3,1
"112",80349,1,1
"113",100890,4,1
"114",100890,4,1
"115",100890,2,1
"116",100890,4,1
"117",100890,3,1
"118",83897,1,1
"119",83897,3,1
"120",83897,3,1
"121",153111,1,1
"122",153111,1,1
"123",153111,3,1
"124",153111,1,1
"125",153111,2,1
"126",153111,1,1
"127",153111,3,1
"128",153111,5,1
"129",153111,4,1
"130",81122,3,1
"131",81122,3,1
"132",81122,4,1
"133",81122,1,1
"134",81122,5,1
"135",81122,5,1
"136",63057,1,1
"137",63057,4,1
"138",63057,4,1
"139",153600,1,1
"140",153600,1,1
"141",153600,1,1
"142",19203,1,1
"143",19203,1,1
"144",19203,4,1
"145",19203,1,1
"146",19203,1,1
"147",19203,1,1
"148",19203,1,1
"149",117311,1,1
"150",117311,1,1
"151",117311,4,1
"152",117311,5,1
"153",117311,1,1
"154",117311,1,1
"155",117311,4,1
"156",117311,1,1
"157",117311,1,1
"158",117311,2,1
"159",117311,1,1
"160",117311,1,1
"161",69877,2,1
