"","business_id","stars","cat"
"0",181368,4,5
"1",181368,5,5
"2",181368,1,5
"3",181368,3,5
"4",13753,4,5
"5",13753,2,5
"6",13753,1,5
"7",158223,5,5
"8",158223,5,5
"9",158223,5,5
"10",190809,3,5
"11",190809,4,5
"12",190809,1,5
"13",190809,2,5
"14",190809,3,5
"15",190809,1,5
"16",190809,1,5
"17",190809,3,5
"18",108885,2,5
"19",108885,1,5
"20",108885,1,5
"21",50474,3,5
"22",50474,1,5
"23",50474,4,5
"24",50474,5,5
"25",50474,4,5
"26",50474,3,5
"27",50474,1,5
"28",50474,2,5
"29",50474,5,5
"30",50474,4,5
"31",50474,5,5
"32",50474,1,5
"33",50474,1,5
"34",50474,1,5
"35",50474,1,5
"36",50474,5,5
"37",50474,3,5
"38",50474,1,5
"39",50474,5,5
"40",123943,1,5
"41",123943,3,5
"42",123943,2,5
"43",46286,3,5
"44",46286,4,5
"45",46286,2,5
"46",46286,2,5
"47",46286,4,5
"48",46286,1,5
"49",46286,1,5
"50",46286,1,5
"51",46286,3,5
"52",46286,3,5
"53",46286,4,5
"54",46286,4,5
"55",46286,3,5
"56",46286,1,5
"57",46286,1,5
"58",46286,1,5
"59",46286,2,5
"60",46286,1,5
"61",46286,3,5
"62",46286,5,5
"63",46286,1,5
"64",46286,5,5
"65",46286,2,5
"66",46286,1,5
"67",46286,1,5
"68",46286,1,5
"69",46286,3,5
"70",46286,4,5
"71",46286,1,5
"72",46286,5,5
"73",46286,1,5
"74",46286,1,5
"75",46907,2,5
"76",46907,2,5
"77",46907,3,5
"78",46907,5,5
"79",46907,1,5
"80",46907,1,5
"81",46907,1,5
"82",46907,3,5
"83",46907,5,5
"84",46907,3,5
"85",46907,5,5
"86",46907,1,5
"87",46907,2,5
"88",46907,1,5
"89",46907,5,5
"90",46907,1,5
"91",50833,4,5
"92",50833,2,5
"93",50833,1,5
"94",50833,1,5
"95",50833,2,5
"96",50833,3,5
"97",50833,1,5
"98",50833,2,5
"99",50833,1,5
"100",50833,2,5
"101",50833,1,5
"102",50833,2,5
"103",50833,1,5
"104",50833,4,5
"105",50833,1,5
"106",50833,1,5
"107",50833,5,5
"108",50833,4,5
"109",50833,5,5
"110",50833,4,5
"111",50833,1,5
"112",50833,1,5
"113",50833,4,5
"114",50833,1,5
"115",50833,1,5
"116",50833,5,5
"117",133736,3,5
"118",133736,4,5
"119",133736,3,5
"120",133736,1,5
"121",133736,3,5
"122",133736,1,5
"123",133736,2,5
"124",133736,4,5
"125",133736,1,5
"126",133736,1,5
"127",133736,1,5
"128",133736,2,5
"129",133736,4,5
"130",133736,1,5
"131",133736,4,5
"132",133736,1,5
"133",133736,1,5
"134",133736,1,5
"135",133736,5,5
"136",133736,4,5
"137",133736,2,5
"138",133736,5,5
"139",133736,1,5
"140",133736,4,5
"141",133736,1,5
"142",133736,1,5
"143",133736,2,5
"144",133736,1,5
"145",133736,1,5
"146",133736,1,5
"147",133736,1,5
"148",133736,2,5
"149",133736,5,5
"150",133736,1,5
"151",133736,1,5
"152",133736,3,5
"153",133736,2,5
"154",133736,1,5
"155",133736,3,5
"156",133736,5,5
"157",27506,1,5
"158",27506,1,5
"159",27506,1,5
"160",122543,5,5
"161",122543,1,5
"162",122543,4,5
"163",122543,5,5
"164",122543,2,5
"165",122543,1,5
"166",122543,3,5
"167",122543,1,5
"168",122543,1,5
"169",122543,5,5
"170",122543,4,5
"171",122543,1,5
"172",122543,1,5
"173",122543,1,5
"174",122543,2,5
"175",122543,1,5
"176",122543,1,5
"177",122543,1,5
"178",49599,4,5
"179",49599,4,5
"180",49599,1,5
"181",49599,5,5
"182",49599,5,5
"183",49599,4,5
"184",49599,1,5
"185",49599,1,5
"186",49599,1,5
"187",49599,1,5
"188",49599,1,5
"189",49599,2,5
"190",49599,4,5
"191",49599,4,5
"192",49599,4,5
"193",49599,1,5
"194",49599,4,5
"195",49599,4,5
"196",49599,1,5
"197",68409,3,5
"198",68409,4,5
"199",68409,1,5
"200",68409,2,5
"201",68409,3,5
"202",68409,4,5
"203",68409,1,5
"204",68409,2,5
"205",68409,1,5
"206",166788,5,5
"207",166788,1,5
"208",166788,1,5
"209",166788,1,5
"210",166788,1,5
"211",166788,1,5
"212",166788,1,5
"213",166788,1,5
"214",66217,5,5
"215",66217,3,5
"216",66217,2,5
"217",66217,3,5
"218",66217,5,5
"219",66217,1,5
"220",66217,1,5
"221",66217,5,5
"222",66217,3,5
"223",66217,4,5
"224",66217,3,5
"225",105498,1,5
"226",105498,2,5
"227",105498,3,5
"228",105498,3,5
"229",105498,1,5
"230",105498,1,5
"231",105498,1,5
"232",105498,1,5
"233",105498,2,5
"234",105498,5,5
"235",105498,3,5
"236",105498,1,5
"237",105498,5,5
"238",105498,1,5
"239",105498,1,5
"240",105498,4,5
"241",105498,2,5
"242",105498,1,5
"243",105498,5,5
"244",105498,1,5
"245",105498,5,5
"246",105498,1,5
"247",105498,4,5
"248",105498,1,5
"249",105498,2,5
"250",105498,1,5
"251",105498,4,5
"252",10382,3,5
"253",10382,2,5
"254",10382,1,5
"255",10382,1,5
"256",10382,1,5
"257",10382,1,5
"258",10382,1,5
"259",10382,4,5
"260",10382,1,5
"261",10382,5,5
"262",10382,5,5
"263",10382,5,5
"264",10382,2,5
"265",10382,5,5
"266",68002,1,5
"267",68002,1,5
"268",68002,1,5
"269",68002,4,5
"270",68002,3,5
"271",68002,4,5
"272",68002,2,5
"273",68002,2,5
"274",68002,1,5
"275",68002,1,5
"276",68002,1,5
"277",68002,3,5
"278",68002,3,5
"279",68002,5,5
"280",68002,4,5
"281",68002,1,5
"282",68002,3,5
"283",68002,4,5
"284",68002,1,5
"285",68002,1,5
"286",35337,5,5
"287",35337,5,5
"288",35337,1,5
"289",35337,5,5
"290",35337,2,5
"291",35337,4,5
"292",35337,2,5
"293",35337,4,5
"294",35337,1,5
"295",35337,1,5
"296",35337,2,5
"297",35337,3,5
"298",35337,2,5
"299",35337,5,5
"300",35337,2,5
"301",35337,1,5
"302",35337,2,5
"303",35337,3,5
"304",35337,2,5
"305",35337,1,5
"306",35337,4,5
"307",35337,1,5
"308",35337,2,5
"309",35337,5,5
"310",35337,1,5
"311",35337,4,5
"312",35337,4,5
"313",35337,1,5
"314",35337,2,5
"315",35337,4,5
"316",35337,1,5
"317",35337,3,5
"318",35337,2,5
"319",35337,2,5
"320",35337,5,5
"321",35337,3,5
"322",35337,2,5
"323",35337,3,5
"324",35337,2,5
"325",35337,4,5
"326",35337,5,5
"327",35337,2,5
"328",35337,5,5
"329",35337,2,5
"330",35337,3,5
"331",35337,4,5
"332",35337,1,5
"333",35337,1,5
"334",35337,2,5
"335",35337,4,5
"336",35337,1,5
"337",35337,5,5
"338",35337,5,5
"339",35337,4,5
"340",35337,5,5
"341",35337,1,5
"342",35337,5,5
"343",35337,1,5
"344",35337,5,5
"345",35337,1,5
"346",35337,3,5
"347",35337,5,5
"348",35337,2,5
"349",35337,1,5
"350",35337,1,5
"351",35337,4,5
"352",35337,1,5
"353",35337,1,5
"354",35337,2,5
"355",35337,5,5
"356",35337,5,5
"357",35337,5,5
"358",35337,1,5
"359",35337,1,5
"360",35337,1,5
"361",35337,1,5
"362",35337,4,5
"363",35337,2,5
"364",35337,1,5
"365",35337,5,5
"366",35337,4,5
"367",21199,5,5
"368",21199,1,5
"369",21199,1,5
"370",21199,1,5
"371",21199,1,5
"372",21199,1,5
"373",21199,3,5
"374",21199,2,5
"375",21199,3,5
"376",21199,1,5
"377",21199,1,5
"378",21199,1,5
"379",21199,1,5
"380",21199,1,5
"381",21199,4,5
"382",21199,1,5
"383",21199,3,5
