name,class,option1,option2,significance,suggestions
Arby's,burger,review,state,has influence,ON最高，其次PA和AB
Arby's,burger,review,circle,no influence,
Arby's,burger,food,state,has influence,"OH,ON,AB"
Arby's,burger,food,circle,no influence,
Arby's,burger,service,state,has influence,"OH, AZ, IL"
Arby's,burger,service,circle,no influence,
Burger King,burger,review,state,no influence,
Burger King,burger,review,circle,no influence,
Burger King,burger,food,state,no influence,
Burger King,burger,food,circle,no influence,
Burger King,burger,service,state,no influence,
Burger King,burger,service,circle,no influence,
Dairy Queen,burger,review,state,has influence,
Dairy Queen,burger,review,circle,no influence,
Dairy Queen,burger,food,state,no influence,
Dairy Queen,burger,food,circle,no influence,
Dairy Queen,burger,service,state,has influence,
Dairy Queen,burger,service,circle,no influence,
Five Guys,burger,review,state,has influence,
Five Guys,burger,review,circle,no influence,
Five Guys,burger,food,state,has influence,
Five Guys,burger,food,circle,no influence,
Five Guys,burger,service,state,no influence,
Five Guys,burger,service,circle,no influence,
Jack In the Box,burger,review,state,has influence,
Jack In the Box,burger,review,circle,no influence,
Jack In the Box,burger,food,state,no influence,
Jack In the Box,burger,food,circle,no influence,
Jack In the Box,burger,service,state,has influence,
Jack In the Box,burger,service,circle,no influence,
KFC,burger,review,state,has influence,
KFC,burger,review,circle,no influence,
KFC,burger,food,state,has influence,
KFC,burger,food,circle,no influence,
KFC,burger,service,state,has influence,
KFC,burger,service,circle,no influence,
McDonald's,burger,review,state,has influence,
McDonald's,burger,review,circle,has influence,
McDonald's,burger,food,state,has influence,
McDonald's,burger,food,circle,no influence,
McDonald's,burger,service,state,has influence,
McDonald's,burger,service,circle,no influence,
Popeyes Louisiana Kitchen,burger,review,state,has influence,
Popeyes Louisiana Kitchen,burger,review,circle,no influence,
Popeyes Louisiana Kitchen,burger,food,state,no influence,
Popeyes Louisiana Kitchen,burger,food,circle,no influence,
Popeyes Louisiana Kitchen,burger,service,state,has influence,
Popeyes Louisiana Kitchen,burger,service,circle,no influence,
Sonic Drive,burger,review,state,has influence,
Sonic Drive,burger,review,circle,no influence,
Sonic Drive,burger,food,state,has influence,
Sonic Drive,burger,food,circle,no influence,
Sonic Drive,burger,service,state,has influence,
Sonic Drive,burger,service,circle,no influence,
Wendy's,burger,review,state,has influence,
Wendy's,burger,review,circle,no influence,
Wendy's,burger,food,state,has influence,
Wendy's,burger,food,circle,no influence,
Wendy's,burger,service,state,has influence,
Wendy's,burger,service,circle,has influence,
Denny's,coffee,review,state,has influence,
Denny's,coffee,review,circle,no influence,
Denny's,coffee,food,state,has influence,
Denny's,coffee,food,circle,no influence,
Denny's,coffee,service,state,has influence,
Denny's,coffee,service,circle,no influence,
Dunkin' Donuts,coffee,review,state,no influence,
Dunkin' Donuts,coffee,review,circle,no influence,
Dunkin' Donuts,coffee,food,state,no influence,
Dunkin' Donuts,coffee,food,circle,no influence,
Dunkin' Donuts,coffee,service,state,no influence,
Dunkin' Donuts,coffee,service,circle,no influence,
Panera Bread,coffee,review,state,has influence,
Panera Bread,coffee,review,circle,no influence,
Panera Bread,coffee,food,state,has influence,
Panera Bread,coffee,food,circle,no influence,
Panera Bread,coffee,service,state,has influence,
Panera Bread,coffee,service,circle,has influence,
Second Cup,coffee,review,state,has influence,
Second Cup,coffee,review,circle,no influence,
Second Cup,coffee,food,state,no influence,
Second Cup,coffee,food,circle,has influence,
Second Cup,coffee,service,state,no influence,
Second Cup,coffee,service,circle,no influence,
Starbucks,coffee,review,state,has influence,
Starbucks,coffee,review,circle,no influence,
Starbucks,coffee,food,state,has influence,
Starbucks,coffee,food,circle,no influence,
Starbucks,coffee,service,state,has influence,
Starbucks,coffee,service,circle,no influence,
Tim Hortons,coffee,review,state,no influence,
Tim Hortons,coffee,review,circle,has influence,
Tim Hortons,coffee,food,state,no influence,
Tim Hortons,coffee,food,circle,no influence,
Tim Hortons,coffee,service,state,no influence,
Tim Hortons,coffee,service,circle,no influence,
Domino's Pizza,pizza,review,state,has influence,
Domino's Pizza,pizza,review,circle,no influence,
Domino's Pizza,pizza,food,state,no influence,
Domino's Pizza,pizza,food,circle,no influence,
Domino's Pizza,pizza,service,state,has influence,
Domino's Pizza,pizza,service,circle,no influence,
Little Caesars Pizza,pizza,review,state,has influence,
Little Caesars Pizza,pizza,review,circle,no influence,
Little Caesars Pizza,pizza,food,state,has influence,
Little Caesars Pizza,pizza,food,circle,no influence,
Little Caesars Pizza,pizza,service,state,has influence,
Little Caesars Pizza,pizza,service,circle,no influence,
Papa John's,pizza,review,state,has influence,
Papa John's,pizza,review,circle,no influence,
Papa John's,pizza,food,state,has influence,
Papa John's,pizza,food,circle,no influence,
Papa John's,pizza,service,state,has influence,
Papa John's,pizza,service,circle,no influence,
Pizza Hut,pizza,review,state,no influence,
Pizza Hut,pizza,review,circle,no influence,
Pizza Hut,pizza,food,state,has influence,
Pizza Hut,pizza,food,circle,no influence,
Pizza Hut,pizza,service,state,has influence,
Pizza Hut,pizza,service,circle,no influence,
Pizza Pizza,pizza,review,state,no influence,
Pizza Pizza,pizza,review,circle,no influence,
Pizza Pizza,pizza,food,state,no influence,
Pizza Pizza,pizza,food,circle,no influence,
Pizza Pizza,pizza,service,state,no influence,
Pizza Pizza,pizza,service,circle,no influence,
Chipotle,regional,review,state,has influence,
Chipotle,regional,review,circle,no influence,
Chipotle,regional,food,state,has influence,
Chipotle,regional,food,circle,no influence,
Chipotle,regional,service,state,has influence,
Chipotle,regional,service,circle,no influence,
Panda Express,regional,review,state,has influence,
Panda Express,regional,review,circle,no influence,
Panda Express,regional,food,state,no influence,
Panda Express,regional,food,circle,no influence,
Panda Express,regional,service,state,has influence,
Panda Express,regional,service,circle,no influence,
Taco Bell,regional,review,state,has influence,
Taco Bell,regional,review,circle,no influence,
Taco Bell,regional,food,state,no influence,
Taco Bell,regional,food,circle,no influence,
Taco Bell,regional,service,state,has influence,
Taco Bell,regional,service,circle,no influence,
Jersey Mike's Sub,sandwich,review,state,has influence,
Jersey Mike's Sub,sandwich,review,circle,no influence,
Jersey Mike's Sub,sandwich,food,state,has influence,
Jersey Mike's Sub,sandwich,food,circle,has influence,
Jersey Mike's Sub,sandwich,service,state,no influence,
Jersey Mike's Sub,sandwich,service,circle,no influence,
Jimmy John's,sandwich,review,state,has influence,
Jimmy John's,sandwich,review,circle,no influence,
Jimmy John's,sandwich,food,state,no influence,
Jimmy John's,sandwich,food,circle,no influence,
Jimmy John's,sandwich,service,state,has influence,
Jimmy John's,sandwich,service,circle,no influence,
Subway,sandwich,review,state,has influence,
Subway,sandwich,review,circle,no influence,
Subway,sandwich,food,state,no influence,
Subway,sandwich,food,circle,no influence,
Subway,sandwich,service,state,no influence,
Subway,sandwich,service,circle,has influence,
