"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",119092,"Braseiro","Montréal","QC","H2P 2M1",45.5397329,-73.633639,1,"Canadian (New), Portuguese, Restaurants","1","u'very_loud'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","u'full_bar'",NA,"u'no'","1","","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","1","1","FALSE","1","FALSE","1","2","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:30-21:0","11:30-21:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-21:0","11:30-21:0",66,0
"2",55440,"Restaurant Nhu Y","Montréal","QC","H2R 2X1",45.5331108,-73.6195176,0,"Vietnamese, Restaurants, Soup","1",NA,"",NA,NA,"FALSE",NA,"1","","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","",NA,"1","2","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-14:0","17:0-20:0","17:0-20:0","17:0-20:0","17:0-20:0","17:0-20:0","11:0-14:0",144,0
"3",54668,"Aux Derniers Humains","Montréal","QC","H2S 2S4",45.5370914,-73.6121815,0,"Restaurants, American (Traditional)","1",NA,"",NA,NA,NA,NA,"","",NA,NA,"","0",NA,"",NA,"0","2",NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,187,0
"4",61047,"Factory","Montréal","QC","H2X 1C2",45.5128836,-73.5699696,1,"Cajun/Creole, Restaurants","",NA,"",NA,NA,NA,NA,"","",NA,NA,"","",NA,"",NA,"","",NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,206,0
"5",174590,"Flyjin Café","Montréal","QC","H2Y",45.5016615,-73.556605,1,"Coffee & Tea, Cafes, Restaurants, Bakeries, Juice Bars & Smoothies, Local Flavor, Food","0","u'average'","0",NA,"u'none'","FALSE","'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","0","FALSE","0","FALSE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"8:0-18:0","8:0-18:0","8:0-18:0","8:0-18:0","10:0-18:0","10:0-18:0","8:0-18:0",249,1
"6",89524,"Jerry Ferrer","Montréal","QC","H2X 1C2",45.51253298,-73.56929591,0,"Restaurants, Burgers, Poutineries, Canadian (New)","1","u'average'","1","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","u'beer_and_wine'",NA,"u'free'","1",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",NA,"1","1","FALSE","1","FALSE","1","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"0",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,250,0
"7",138910,"Jardin Tiki","Montréal","QC","H1V 1A1",45.5679434,-73.5526664,0,"Local Flavor, Chinese, Nightlife, Restaurants, Bars, Buffets, Asian Fusion","1",NA,"",NA,NA,NA,NA,"1",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:30-21:0","11:30-21:0","11:30-21:0","11:30-23:0","11:30-23:0","11:30-21:0","11:30-21:0",268,0
"8",106451,"Tandoori Xpress","Laval","QC","H7G 2E1",45.576182,-73.683505,1,"Restaurants, Vegetarian, Pakistani, Middle Eastern, Indian","1","u'quiet'","1",NA,"u'beer_and_wine'","TRUE","u'no'","1",NA,"None","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","0",NA,"1","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","16:0-22:0","16:0-21:0","11:0-22:0",290,0
"9",7904,"Chez ma Grosse Truie Chérie","Montréal","QC","H2K 1T5",45.5260887,-73.5595135,1,"Restaurants, Canadian (New), French, Brasseries","1","u'very_loud'","0",NA,"u'full_bar'","FALSE","u'free'","1",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","","1","TRUE","0","TRUE","1","3","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"17:0-21:0","17:0-21:0","17:0-22:0","17:0-22:0",NA,"17:0-21:0",308,0
"10",85008,"Maiko Sushi - DDO","Dollard-des-Ormeaux","QC","H9B 1Z8",45.484315,-73.795652,1,"Restaurants, Sushi Bars, Japanese","0","u'quiet'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","u'full_bar'",NA,"u'no'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","1",NA,"1","3","u'dressy'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"17:0-22:0","17:0-23:0","17:0-23:0","17:0-0:0","17:0-0:0","17:0-22:0","17:0-23:0",356,0
"11",187050,"Tomate Basilic","Pointe-Aux-Trembles","QC","H1B 1C8",45.65099446,-73.51200022,1,"Italian, Restaurants","1",NA,"0",NA,"u'full_bar'",NA,"'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1",NA,"",NA,"1","2","u'dressy'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,357,0
"12",47323,"Hoche Café","Montréal","QC","H1V 1K4",45.5524868,-73.5399851,1,"Breakfast & Brunch, Food, Restaurants, Coffee & Tea","1","'average'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}","u'none'","FALSE","u'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","0","TRUE","1","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"7:0-19:0","7:0-19:0","7:0-19:0","6:45-19:0","8:0-19:0","7:30-18:30","7:0-19:0",373,0
"13",129696,"Boustan","Kirkland","QC","H9H 3C3",45.459048,-73.866167,1,"Middle Eastern, Lebanese, Restaurants","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,"",NA,"","",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-0:0","11:0-0:0",427,0
"14",34777,"Noobox","Montr�al","QC","H2Z 2A7",45.5043641,-73.5607048,1,"Restaurants, Fast Food, Noodles","1",NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,"","0","FALSE","",NA,"0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"23:0-19:0","23:0-19:0","23:0-19:0","23:0-19:0","23:0-15:0",NA,"23:0-19:0",448,1
"15",92924,"Saiken Sushi","Montréal","QC","H2K 4C8",45.52322567,-73.55197875,0,"Restaurants, Japanese","1","u'quiet'","1","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,"1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"","1","TRUE","0","TRUE","1","3","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"17:0-22:0","17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","17:0-22:0","17:0-22:0",469,0
"16",72222,"Eggspectation","Montréal","QC","H2X 2X3",45.507291,-73.565672,1,"Burgers, American (Traditional), Cafes, Breakfast & Brunch, Restaurants, Sandwiches, Comfort Food","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}","u'full_bar'","FALSE","u'free'","0",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}","1","1","TRUE","1","FALSE","0","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"7:0-16:0","6:0-16:0","6:0-20:0","6:0-20:0","7:0-15:0","7:0-15:0","9:0-15:0",499,1
"17",64317,"Restaurant Agora Souvlaki","Montréal","QC","H4V 1S8",45.4673896,-73.6386165,0,"Greek, Restaurants, Mediterranean","0","u'quiet'","1",NA,NA,NA,NA,"1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","0",NA,"0","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,508,0
"18",79409,"Frite Alors","Montréal","QC","H1Y 2J7",45.5499455,-73.5742233,1,"Food Trucks, Burgers, Food, Sandwiches, Restaurants","1",NA,"0",NA,NA,NA,NA,"1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"","1","TRUE",NA,"FALSE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,587,0
"19",30076,"Casa Grecque Pie Ix","Montreal-Nord","QC","H1H 4A3",45.5895465,-73.6337117,1,"Restaurants","1",NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,"","1","FALSE",NA,NA,"1","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,614,0
"20",27907,"Café Mezcal","Montréal","QC","H2X 1B7",45.515404,-73.571156,1,"Food, Breakfast & Brunch, Ice Cream & Frozen Yogurt, Mexican, Cafes, Restaurants","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}","u'none'","TRUE","u'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","1","0","TRUE","TRUE","TRUE","1","2","'casual'",NA,NA,"",NA,NA,"","",NA,"0","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-17:0",NA,667,0
"21",121076,"Aqua Lunch Eaton","Montréal","QC","H3B 4G5",45.502466,-73.5713041,1,"Restaurants","1",NA,"0",NA,NA,NA,NA,"1",NA,NA,NA,"","1",NA,NA,NA,"0","",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,695,1
"22",6521,"Chez Cora","Montréal","QC","H1N 1A1",45.5725678,-73.5486336,1,"French, Restaurants","1",NA,"0",NA,NA,NA,"'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"","1","FALSE","FALSE","TRUE","1","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,731,0
"23",9731,"Ayo Restaurant","Montréal","QC","H8R 2A4",45.4209727,-73.6312633,1,"African, Restaurants","",NA,"",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"","",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,808,0
"24",48146,"Morgane Bistro & Pub","Saint-Jean-sur-Richelieu","QC","J3B 6W2",45.3101617,-73.2524164,1,"Pubs, Gastropubs, Restaurants, Nightlife, Bars","0","u'average'","0",NA,"u'full_bar'",NA,NA,"1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","TRUE","TRUE",NA,"1","3","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"11:0-3:0","11:0-3:0","11:0-3:0","15:0-3:0","15:0-3:0","11:0-3:0",813,0
"25",135832,"A&W","Montréal","QC","H3A 1K1",45.5047528,-73.5725866,1,"Burgers, Breakfast & Brunch, Restaurants, Fast Food","1","u'quiet'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","u'beer_and_wine'","FALSE","'free'","1",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","0","1","FALSE","FALSE","TRUE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"0",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",835,1
"26",7162,"Bambou d'Or","Laval","QC","H7X 1C7",45.52969198,-73.81972002,1,"Vietnamese, Restaurants","1",NA,"FALSE",NA,NA,NA,NA,"TRUE",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","TRUE","FALSE",NA,NA,"1","2",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"16:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","16:0-22:0","11:0-22:0",880,0
"27",50976,"Les Grillades du Fort","Chambly","QC","J3L 1Y8",45.44788872,-73.28477087,1,"Tapas/Small Plates, Restaurants","",NA,"FALSE",NA,"u'full_bar'","TRUE","u'free'","TRUE",NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","1",NA,"TRUE","TRUE","TRUE","1","",NA,NA,NA,"",NA,NA,"","",NA,"1","0",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","10:0-22:0","11:30-22:0",930,0
"28",25777,"Saq","Montr�al","QC","H3B 1H4",45.4989869,-73.5734636,1,"Food, Beer, Wine & Spirits","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","2",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",939,1
