"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",120464,"Wendy's","Madison","WI","53716",43.062872,-89.308293,1,"Fast Food, Sandwiches, Restaurants, Burgers","0",NA,"0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,"'free'","1","1",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","0",NA,"",NA,"0","1","'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0",160,0
"2",87154,"Jersey Mike's Subs","Middleton","WI","53562",43.0914254,-89.52728731,1,"Fast Food, Restaurants, Delis, Sandwiches, Wraps","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}","'none'","TRUE",NA,"1","TRUE","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","0","1","FALSE","1","TRUE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"0",NA,NA,NA,NA,NA,"",NA,NA,"10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0",270,0
"3",163378,"Gino's Restaurant","Madison","WI","53703",43.075131,-89.394445,0,"Italian, Restaurants, Pizza","1","u'average'","1",NA,"'full_bar'","TRUE",NA,"1","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","1","TRUE","1",NA,"1","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","","'no'","",NA,NA,NA,NA,NA,"",NA,NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0","11:0-22:0",326,1
"4",34091,"The Roman Candle Pizzeria","Fitchburg","WI","53711",43.0003778,-89.4258729,1,"Restaurants, Pizza","1","u'average'","1","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","u'beer_and_wine'","TRUE","u'free'","1","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","1","TRUE","0","TRUE","0","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"1","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-20:0","11:0-20:0","11:0-20:0","11:0-21:0","11:0-21:0","11:0-20:0","11:0-20:0",447,0
"5",94204,"Canterbury Booksellers Inn","Madison","WI","53703",43.0743929,-89.3918122,0,"Shopping, Bookstores, Coffee & Tea, Food, Books, Mags, Music & Video, Restaurants","",NA,"",NA,NA,NA,NA,"","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","",NA,"","TRUE","","2",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,517,1
"6",166085,"Stone Creek Coffee","Madison","WI","53703",43.08629371,-89.36813237,1,"Food, Coffee & Tea","",NA,"",NA,NA,"FALSE","'free'","1","TRUE",NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","","TRUE",NA,"TRUE","","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"6:0-19:0","6:0-19:0","6:0-19:0","6:0-19:0","6:0-19:0","7:0-19:0","6:0-19:0",815,0
"7",56287,"Walgreens","Madison","WI","53715",43.0723844,-89.3984535,1,"Beauty & Spas, Convenience Stores, Shopping, Drugstores, Food, Health & Medical, Cosmetics & Beauty Supply","",NA,NA,NA,NA,NA,NA,"FALSE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","",NA,NA,NA,"TRUE","","2",NA,NA,"FALSE","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0","7:0-0:0",1066,0
"8",27945,"Kim's Noodle Vietnamese Cuisine","Monona","WI","53716",43.0698053,-89.3260826,0,"Vietnamese, Restaurants","1","u'quiet'","FALSE",NA,"u'full_bar'",NA,NA,"TRUE","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","TRUE","FALSE","TRUE",NA,"0","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1112,0
"9",2796,"Lee Asian Bistro","Madison","WI","53716",43.0699604,-89.3259043,0,"Restaurants, Vietnamese, Chinese","1",NA,"TRUE",NA,"u'full_bar'",NA,NA,"TRUE","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","TRUE","FALSE","FALSE",NA,"1","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0","11:0-21:0",1156,0
"10",61421,"McDonald's","Oregon","WI","53575",42.9423148,-89.3837457,1,"Coffee & Tea, Burgers, Food, Fast Food, Restaurants","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"5:0-23:0","5:0-23:0","5:0-23:0","5:0-0:0","5:0-0:0","5:0-23:0","5:0-23:0",1219,0
