"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",108923,"Starbucks","Calgary","AB","T1Y 7J6",51.07532839,-113.9911683,1,"Food, Coffee & Tea","",NA,NA,NA,NA,"FALSE","'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","",NA,"TRUE",NA,"TRUE","","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,882,1
"2",115622,"Second Cup","Calgary","AB","T3G 5T4",51.15056057,-114.2132663,0,"Food, Desserts, Coffee & Tea","",NA,NA,NA,NA,NA,"u'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","",NA,"TRUE",NA,"FALSE","","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"6:30-21:0","6:30-21:0","6:30-21:0","6:30-18:0","7:0-18:0","7:0-18:0","6:30-21:0",1192,0
"3",192567,"Starbucks","Calgary","AB","T2J 3V1",50.953157,-114.065286,1,"Food, Coffee & Tea","",NA,NA,NA,NA,"TRUE","u'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","",NA,"TRUE",NA,"TRUE","","2",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"6:30-21:30","6:30-21:30","6:30-21:30","6:30-21:30","7:30-20:30","7:30-18:30","6:30-21:30",1464,1
"4",101667,"Denny's","Calgary","AB","T2H 0B8",50.98254118,-114.0450463,1,"Breakfast & Brunch, American (Traditional), Restaurants, Diners","1","u'average'","FALSE",NA,"u'beer_and_wine'","FALSE","'free'","TRUE",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","TRUE","FALSE","TRUE","TRUE","0","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",1772,0
"5",144360,"Second Cup McKenzie Towne","Calgary","AB","T2Z 3T8",50.915512,-113.960139,1,"Coffee & Tea, Food","",NA,NA,NA,NA,NA,"'free'","TRUE",NA,NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","",NA,"TRUE",NA,"TRUE","","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,2094,0
"6",54161,"Starbucks","Calgary","AB","T3H 3P8",51.02065125,-114.1690793,1,"Food, Coffee & Tea",NA,NA,NA,NA,NA,NA,"'free'","FALSE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,"TRUE",NA,"TRUE","","2",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"9:0-22:0","9:0-22:0","9:0-22:0","9:0-22:0","9:0-22:0","10:0-21:0","9:0-22:0",4556,0
"7",119021,"Starbucks","Calgary","AB","T3R 0A1",51.15681,-114.160473,1,"Food, Coffee & Tea",NA,NA,NA,NA,NA,NA,"'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,"TRUE",NA,"TRUE","","2",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4957,0
"8",150071,"Tim Hortons","Calgary","AB","T1Y 7K7",51.0725562,-114.0008054,1,"Bakeries, Food, Coffee & Tea",NA,NA,"FALSE",NA,NA,"FALSE","'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,"FALSE",NA,"TRUE",NA,"1",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",5901,0
"9",149821,"Starbucks","Calgary","AB","T2R 1N8",51.0405525,-114.0659916,1,"Coffee & Tea, Food",NA,NA,NA,NA,NA,NA,"'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"TRUE",NA,"TRUE",NA,"2",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"5:30-21:0","5:30-21:0","5:30-21:0","5:30-21:0","7:0-19:0","7:0-19:0","5:30-21:0",5961,0
"10",119327,"Starbucks","Calgary","AB","T2E 6Z8",51.13164626,-114.0115643,1,"Coffee & Tea, Food",NA,NA,NA,NA,NA,"FALSE","'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"FALSE",NA,"FALSE",NA,"1",NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4:30-23:0","4:30-23:0","4:30-23:0","4:30-23:0","4:30-23:0","4:30-23:0","4:30-23:0",7190,0
