"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",18567,"Pizza Hut","Calgary","AB","T2A 0V1",51.0386268,-113.9667961,1,"Pizza, Chicken Wings, Restaurants, Italian","1","u'quiet'","TRUE",NA,"u'beer_and_wine'","FALSE","u'no'","TRUE",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","TRUE","FALSE","FALSE","FALSE","0","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","12:0-22:0","11:0-22:0",1327,0
"2",45714,"Domino's","Calgary","AB","T2G 0T1",51.04185029,-114.0355013,1,"Pizza, Restaurants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","11:0-2:0","11:0-0:0","11:0-0:0",7435,0
"3",137604,"Domino's Pizza","Calgary","AB","T2K 6H2",51.1116742,-114.0558965,1,"Pizza, Restaurants","TRUE",NA,"TRUE",NA,"u'none'",NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:30","11:0-23:30","11:0-23:30","11:0-1:30","11:0-1:30","12:0-23:30","11:0-23:0",23894,0
"4",82064,"Papa John's","Calgary","AB","T2C 4E4",50.977135,-114.013864,1,"Pizza, Restaurants","TRUE",NA,"TRUE",NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"10:30-13:0","10:30-13:0","10:30-13:0","10:30-14:0","10:30-14:0","10:30-13:0","10:30-13:0",32452,0
"5",157097,"Pizza Hut","Calgary","AB","T2E 4Y7",51.04570131,-114.0573662,0,"Restaurants, Pizza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32534,1
"6",181677,"Domino's Pizza","Calgary","AB","T3H 0N9",51.0348223,-114.1914922,1,"Pizza, Restaurants, Italian","TRUE",NA,"TRUE",NA,"u'none'",NA,NA,"TRUE",NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"10:30-0:0","10:30-0:0","10:30-0:0","10:30-1:0","10:30-1:0","10:30-0:0","10:30-0:0",42083,0
"7",15984,"Papa John's Pizza","Calgary","AB","T1Y 7G6",51.076287,-113.9900978,1,"Restaurants, Pizza","TRUE",NA,"TRUE",NA,"u'none'",NA,NA,"TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"TRUE","FALSE","FALSE",NA,"FALSE","2","u'casual'",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44703,1
"8",130253,"Little Caesars Pizza","Calgary","AB","T2C 2N5",50.983458,-114.014459,1,"Pizza, Restaurants","TRUE",NA,NA,NA,NA,NA,"u'no'","TRUE",NA,"None",NA,NA,"TRUE",NA,NA,"TRUE","FALSE","1","'casual'",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"11:0-21:45","11:0-21:45","11:0-21:45","11:0-22:45","11:0-22:45","11:0-21:45","11:0-21:45",48727,0
"9",125028,"Pizza Hut","Calgary","AB","T3B 0N3",51.073674,-114.16481,1,"Chicken Wings, Pizza, Restaurants, Italian, Food Delivery Services, Food",NA,NA,"TRUE",NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0","11:0-23:0","11:0-23:0",50030,0
"10",87527,"Little Caesars Pizza","Airdrie","AB","T3A 0K9",51.26983632,-113.9881325,1,"Restaurants, Food, Pizza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50734,0
