"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",181368,"Taco Bell of Canada","Calgary","AB","T3H 3C8",51.0154135,-114.1690681,0,"Restaurants, Shopping Centers, Mexican, Shopping, Fast Food","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2406,0
"2",13753,"Taco Bell of Canada","Calgary","AB","T2A 0S5",51.0378233,-113.9786405,0,"Mexican, Restaurants, Fast Food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"TRUE",NA,NA,"FALSE",NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"10:30-21:30","10:30-21:30","10:30-21:30","10:30-22:0","10:30-22:0","11:0-21:30","10:30-21:30",31682,0
"3",158223,"Kentucky Fried Chicken & Taco Bell","Calgary","AB","T3R",51.1614653,-114.1254764,1,"Fast Food, Restaurants","TRUE","u'average'","TRUE","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","'none'","TRUE","u'free'","TRUE",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","2","'casual'",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32353,0
"4",190809,"Panda Express","Calgary","AB","T2Z 4E7",50.93295676,-113.9677081,1,"Chinese, Restaurants, Fast Food","TRUE",NA,"FALSE","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}","'none'",NA,NA,"TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"TRUE","TRUE",NA,"TRUE","FALSE","2","'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10:30-22:30","10:30-22:30","10:30-22:30","10:30-22:30","10:30-22:30","11:0-22:30","10:30-22:30",83991,0
"5",108885,"Taco Bell","Calgary","AB","T1Y 6B9",51.0818916,-113.9882701,1,"Fast Food, Restaurants, Mexican","FALSE","'average'","FALSE","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","'none'","FALSE","'no'","TRUE",NA,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","1","'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125383,1
"6",50474,"Taco Bell","Phoenix","AZ","85016",33.4951941,-112.0285876,1,"Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food","1",NA,"0",NA,"u'none'",NA,"u'no'","1","1","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","0",NA,"0","1","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"7:0-0:0","7:0-0:0","7:0-1:0","7:0-1:0","7:0-1:0","7:0-0:0","7:0-0:0",10,0
"7",123943,"Panda Express","Tempe","AZ","85282",33.3831468,-111.9647254,0,"Restaurants, Fast Food, Chinese","",NA,"",NA,"'none'",NA,NA,"1",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","",NA,NA,NA,"","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,593,1
"8",46286,"Panda Express","Avondale","AZ","85323",33.4490139,-112.3079079,1,"Restaurants, Fast Food, Chinese","1","'quiet'","FALSE",NA,"'none'","TRUE","'no'","TRUE","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","TRUE","TRUE","FALSE","FALSE","0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"10:0-21:30","10:0-21:30","10:0-21:30","10:0-21:30","10:0-21:30","10:30-21:30","10:0-21:30",1952,0
"9",46907,"Taco Bell","Mesa","AZ","85215",33.452196,-111.684205,1,"Tex-Mex, Mexican, Fast Food, Restaurants","TRUE","u'average'","FALSE",NA,"'none'","FALSE","u'no'","TRUE","TRUE","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"TRUE","FALSE","FALSE","TRUE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"7:0-0:0","7:0-0:0","7:0-0:0","7:0-1:0","7:0-1:0","7:0-0:0","7:0-0:0",2795,0
"10",50833,"Taco Bell","Chandler","AZ","85248",33.26294545,-111.8596,1,"Fast Food, Restaurants, Tex-Mex, Mexican","TRUE","'average'","FALSE","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","u'none'","FALSE","u'no'","TRUE","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False}",NA,"TRUE","FALSE","FALSE","TRUE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"7:0-0:0","7:0-0:0","7:0-0:0","7:0-1:0","7:0-1:0","7:0-0:0","7:0-0:0",3777,0
