"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",64799,"Subway","Calgary","AB","T2G 2Y8",51.0168614,-114.0451308,1,"Restaurants, Fast Food, Sandwiches","TRUE","u'average'","FALSE",NA,"u'none'",NA,NA,"TRUE",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"FALSE","FALSE","FALSE",NA,"FALSE","1","'casual'",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",16425,0
"2",110519,"Subway","Calgary","AB","T3R 0A1",51.1562387,-114.1582006,1,"Fast Food, Restaurants, Sandwiches",NA,NA,NA,NA,NA,NA,"u'free'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-21:0","9:0-21:0","7:0-22:0",34717,0
"3",29387,"Subway","Calgary","AB","T2C 4E1",50.9923711,-113.9606836,1,"Soccer, Restaurants, Fast Food, Sandwiches, Active Life","TRUE",NA,NA,NA,NA,NA,"u'free'",NA,NA,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"4:0-22:0","4:0-22:0","4:0-22:0","4:0-22:0","8:0-17:0","8:0-17:0","4:0-22:0",35671,0
"4",5808,"Subway","Calgary","AB","T3L 2V7",51.12411752,-114.2487672,1,"Sandwiches, Fast Food, Restaurants",NA,NA,NA,NA,NA,NA,NA,NA,NA,"{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': False, 'trendy': False, 'casual': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7:0-21:0","7:0-22:0","7:0-22:0","7:0-22:0","9:0-22:0","9:0-21:0","7:0-21:0",79766,0
"5",46714,"Subway","Calgary","AB","T2N 3R1",51.0523513,-114.0935404,1,"Restaurants, Sandwiches, Fast Food","TRUE",NA,"FALSE",NA,"u'none'",NA,"u'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"TRUE","FALSE","TRUE",NA,"FALSE","1","'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7:0-4:0","7:0-4:0","7:0-4:0","7:0-4:0","9:0-4:0","9:0-4:0","7:0-4:0",87093,0
"6",88430,"Subway","Calgary","AB","T3K 0S6",51.16825706,-114.0895688,1,"Restaurants, Sandwiches, Fast Food, Salad",NA,"u'quiet'","FALSE","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,"u'free'","FALSE",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,NA,"TRUE","FALSE","FALSE",NA,"FALSE",NA,"u'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7:0-21:0","7:0-22:0","7:0-22:0","7:0-22:0","8:0-21:0","9:0-21:0","7:0-21:0",91064,0
"7",154160,"Subway","Calgary","AB","T2K 3K2",51.102777,-114.062825,1,"Fast Food, Restaurants, Sandwiches","TRUE","u'average'","FALSE",NA,"u'none'","TRUE","u'free'","TRUE",NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"TRUE","FALSE","FALSE","TRUE","FALSE","1","u'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7:0-23:0","7:0-23:0","7:0-23:0","7:0-23:0","9:0-23:0","9:0-23:0","7:0-23:0",99961,0
"8",24772,"Subway","Calgary","AB","T2P 2A8",51.0469083,-114.0815649,1,"Restaurants, Sandwiches, Fast Food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",117450,1
"9",146556,"Subway","Calgary","AB","T3M 0J4",50.88028704,-113.9781842,1,"Salad, Fast Food, Soup, Sandwiches, Restaurants","TRUE",NA,"FALSE",NA,NA,NA,"u'free'","TRUE",NA,NA,NA,NA,"TRUE",NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","9:0-21:0","9:0-20:0","7:0-22:0",130801,0
"10",154489,"Subway","Calgary","AB","T3C 2E6",51.02074,-114.143389,1,"Restaurants, Sandwiches, Fast Food",NA,"u'average'",NA,NA,NA,"TRUE","u'free'","TRUE",NA,NA,NA,NA,NA,"FALSE","FALSE",NA,NA,"2","u'casual'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","8:0-22:0","9:0-21:0","7:0-22:0",131843,0
