"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",173423,"7-Eleven","Calgary","AB","T2Z 0W1",50.9215273,-113.9355241,1,"Food, Convenience Stores, Coffee & Tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",43304,0
"2",45614,"7-Eleven","Calgary","AB","T2E 0C1",51.05355001,-114.0452468,1,"Coffee & Tea, Convenience Stores, Grocery, Food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",69002,0
"3",6283,"Walmart","Calgary","AB","T2J",50.93050168,-114.0301341,1,"Shopping, Department Stores, Electronics, Fashion, Food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,"TRUE",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147702,0
"4",5838,"Walgreens","Glendale","AZ","85302",33.5678171,-112.2021689,1,"Food, Drugstores, Beauty & Spas, Cosmetics & Beauty Supply, Convenience Stores, Photography Stores & Services, Shopping","",NA,"",NA,NA,NA,NA,"0","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","",NA,NA,"TRUE","","2",NA,NA,"FALSE","",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"8:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","8:0-22:0","7:0-22:0",827,0
"5",184796,"Walgreens","Phoenix","AZ","85015",33.5235352,-112.0988228,1,"Photography Stores & Services, Shopping, Cosmetics & Beauty Supply, Food, Drugstores, Convenience Stores, Beauty & Spas","",NA,NA,NA,NA,"FALSE",NA,"FALSE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","",NA,NA,NA,"TRUE","","2",NA,NA,"FALSE","",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"9:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","8:0-22:0","7:0-22:0",1878,0
"6",162829,"QuikTrip","Tolleson","AZ","85353",33.4496109,-112.2719792,1,"Convenience Stores, Food, Automotive, Gas Stations","",NA,NA,NA,NA,NA,NA,"TRUE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","",NA,NA,NA,"TRUE","","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,"",NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",2032,0
"7",31098,"QuikTrip","Phoenix","AZ","85029",33.597061,-112.119485,1,"Automotive, Convenience Stores, Gas Stations, Food",NA,NA,NA,NA,NA,"FALSE",NA,"TRUE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,"TRUE","","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",3100,0
"8",734,"Walgreens","Phoenix","AZ","85012",33.4879117,-112.0745683,1,"Shopping Centers, Photography Stores & Services, Food, Convenience Stores, Beauty & Spas, Shopping, Drugstores, Cosmetics & Beauty Supply",NA,NA,NA,NA,NA,"FALSE",NA,"FALSE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,"TRUE","","2",NA,NA,"FALSE","",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",3639,0
"9",157461,"7-Eleven","Phoenix","AZ","85017",33.4954383,-112.1166717,1,"Coffee & Tea, Food, Grocery, Convenience Stores",NA,NA,NA,NA,NA,NA,NA,"FALSE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,NA,NA,NA,"FALSE","","1",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",3857,0
"10",141204,"Walgreens","Chandler","AZ","85286",33.2771301,-111.8578833,1,"Food, Shopping, Beauty & Spas, Convenience Stores, Cosmetics & Beauty Supply, Drugstores",NA,NA,NA,NA,NA,NA,NA,"FALSE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,NA,NA,NA,"TRUE","","2",NA,NA,"FALSE","",NA,NA,"","",NA,"","",NA,"",NA,NA,"",NA,NA,NA,NA,NA,"7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0","7:0-22:0",3985,0
