,business_id,name,state,avgstar
0,173463,Dairy Queen Brazier,AB,1.25
4,14859,KFC,AB,1.8333333333333333
10,64109,McDonald's,AB,2.333333333333333
13,77221,Wendy's,AB,2.0
17,40356,McDonald's,AB,2.8
22,75009,DQ Grill & Chill Restaurant,AB,2.4
27,176601,McDonalds,AB,2.75
35,135683,DQ Grill & Chill Restaurant,AB,3.333333333333333
38,128970,McDonald's,AB,1.0
41,12101,McDonald's,AB,2.8
46,135801,Dairy Queen Grill & Chill Restaurant,AB,3.333333333333333
49,9964,Wendy's,AB,2.0
54,95799,KFC,AB,1.4
59,87221,McDonald's,AB,1.6666666666666667
68,144471,DQ Grill & Chill Restaurant,AB,2.0
72,147545,McDonald's,AB,2.625
80,23861,Wendy's,AB,3.25
84,52134,DQ Grill & Chill Restaurant,AB,1.6666666666666667
87,123906,Arby's Restaurant,AB,3.0
90,167367,Dairy Queen,AB,1.6666666666666667
96,102990,McDonalds,AB,1.8333333333333333
102,143464,McDonalds,AB,2.5
106,80349,McDonald's,AB,3.7142857142857135
113,100890,Dairy Queen,AB,3.4
118,83897,Burger King Restaurant,AB,2.333333333333333
121,153111,Wendy's,AB,2.333333333333333
130,81122,Dairy Queen,AB,3.5
136,63057,DQ Grill & Chill Restaurant,AB,3.0
139,153600,McDonald's,AB,1.0
142,19203,McDonald's,AB,1.4285714285714286
149,117311,McDonald's,AB,1.9166666666666667
161,69877,KFC,AB,2.0
164,69997,McDonalds,AB,1.875
172,157247,McDonald's,AB,2.333333333333333
175,142601,Wendy's,AB,3.1666666666666665
181,33778,Wendy's,AB,2.75
185,177411,McDonald's,AB,2.25
189,66242,McDonald's,AB,1.9
199,130023,KFC,AB,2.0
202,57130,Mcdonald's,AB,2.375
210,1386,DQ Grill & Chill Restaurant,AB,1.8571428571428568
217,104492,Wendy's,AB,1.25
221,109389,Wendy's,AB,3.0
225,168581,McDonald's,AB,1.9230769230769231
238,169801,Five Guys,AB,3.684210526315789
257,105598,Wendy's,AB,2.6666666666666665
260,36800,McDonald's,AB,1.6153846153846154
273,125820,Dairy Queen,AB,3.333333333333333
276,190374,Wendy's,AB,2.333333333333333
279,104095,DQ Grill & Chill Restaurant,AB,1.6
284,134106,McDonald's,AB,1.5555555555555556
311,120133,McDonald's,AB,2.6666666666666665
314,173714,Popeyes Louisiana Kitchen,AB,3.827586206896552
343,154110,Burger King Restaurant,AB,1.8571428571428568
350,39549,McDonald's,AB,2.7
360,142926,Five Guys,AB,4.0
368,145974,Dairy Queen / Orange Julius,AB,3.0
371,190989,Five Guys,AB,4.0
389,181934,Five Guys Burgers and Fries,AB,3.734042553191489
483,83443,Five Guys,AB,4.4
488,60099,KFC,AB,1.2
493,144570,Dairy Queen,AB,2.727272727272727
