"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",105372,"Pearl Garden","Calgary","AB","T1Y",51.0811622,-113.9934738,0,"Chinese, Dim Sum, Restaurants","1",NA,"0",NA,NA,NA,NA,"1","",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","",NA,"","1","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1
"2",106017,"MiraKuru","Calgary","AB","T2S 0A9",51.0377777,-114.0733514,0,"Nightlife, Italian, Restaurants, Japanese, Lounges, Bars","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","u'full_bar'",NA,"'free'","1","","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",NA,"1","1","FALSE","1","TRUE","1","2","u'casual'",NA,"","","{'dj': False, 'background_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","FALSE","0","1",NA,"","",NA,"","u'no'",NA,NA,NA,NA,"",NA,NA,NA,"14:0-23:0","14:0-23:0","14:0-2:0","14:0-2:0","14:0-23:0","14:0-23:0",65,0
"3",59401,"Phil's Restaurants","Calgary","AB","T2A 0P9",51.0381747,-113.9892355,1,"Breakfast & Brunch, Diners, Restaurants, Coffee & Tea, Food","1","u'average'","0",NA,"u'beer_and_wine'","FALSE","u'no'","1","","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","TRUE","0","FALSE","0","2","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"7:0-20:0","7:0-20:0","7:0-20:0","7:0-20:0","7:0-20:0","7:0-20:0","7:0-20:0",163,0
"4",59308,"Toad N Turtle Pubhouse & Grill","Calgary","AB","T2Z",50.9319378,-113.9616098,1,"Bars, Pubs, Gastropubs, Nightlife, Restaurants, Canadian (New)","0","u'loud'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': False}","'full_bar'","FALSE","'free'","1","","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","1","TRUE","1","TRUE","1","2","'casual'",NA,"","","{}","FALSE","0","1","{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': True, 'saturday': True}","","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","11:0-0:0","11:0-0:0","11:0-1:0","10:0-1:0","10:0-21:0","11:0-23:0",197,0
"5",137790,"Cibo","Calgary","AB","T2T 0A5",51.0380869,-114.0849675,1,"Italian, Canadian (New), Food, American (New), Restaurants","1","u'average'","1","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","u'full_bar'","FALSE","'free'","1","","{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","1","1","TRUE","1","TRUE","1","2","u'casual'",NA,"","",NA,NA,"","",NA,"1","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-22:0",207,0
"6",122468,"La Casa d'Italia Ristorante","Calgary","AB","T2E 2V8",51.0778425,-114.0625209,0,"Italian, Restaurants, Event Planning & Services, Caterers","1","u'average'","0",NA,"u'full_bar'",NA,"u'free'","1","","{'romantic': False, 'intimate': False, 'classy': False, 'upscale': False, 'touristy': False, 'trendy': False, 'hipster': False, 'casual': False}","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","0",NA,"1","3","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"17:0-22:0","17:0-22:0","17:0-22:30","17:0-22:30",NA,"17:0-22:0",210,0
"7",64215,"Ricky's All Day Grill","Calgary","AB","T2E 5T1",51.09722412,-114.0322342,1,"Breakfast & Brunch, Restaurants, Canadian (New), Diners","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,"FALSE","'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","1","TRUE","1","FALSE","0","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","8:0-20:0","7:0-21:0",241,0
"8",72460,"Woody's Barbq","Calgary","AB","T2A 6L8",51.0601777,-113.9810304,0,"Sandwiches, Restaurants, Barbeque, Salad","0",NA,"",NA,"u'full_bar'",NA,NA,"1",NA,NA,NA,"","1",NA,"1",NA,"0","","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0","11:0-22:0",258,1
"9",100003,"Rosso Coffee Roasters","Calgary","AB","T2G 0Y4",51.0421039,-114.0540648,1,"Restaurants, Coffee & Tea, Bakeries, Food, Breakfast & Brunch, Coffee Roasteries","0","u'average'","0",NA,"'beer_and_wine'","TRUE","u'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","1","TRUE","0","TRUE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"6:30-17:0","6:30-17:0","6:30-17:0","6:30-17:0","8:0-17:0","9:0-16:0","6:30-17:0",345,0
"10",73973,"Oishii Sushi","Calgary","AB","T2C 4E4",50.977178,-114.0132566,1,"Japanese, Restaurants, Sushi Bars","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","u'full_bar'","FALSE","u'free'","1",NA,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","1","FALSE","1","FALSE","1","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",422,0
