"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",72511,"ChinaTown Buffet","Champaign","IL","61822",40.13727,-88.2560426,1,"Sushi Bars, Buffets, Restaurants, Chinese","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","u'full_bar'","FALSE","u'no'","1","TRUE","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","0","FALSE","0","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0","11:0-21:0",285,1
"2",175422,"Sunny China Buffet","Urbana","IL","61802",40.0976392,-88.1912166,1,"Buffets, Chinese, Restaurants","1","u'average'","0",NA,"u'none'","FALSE","u'no'","1","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","1","TRUE","0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,344,1
"3",54153,"The Clark Bar","Champaign","IL","61820",40.1150169,-88.2461558,1,"Karaoke, American (Traditional), Nightlife, Tapas Bars, Restaurants","0","u'average'","FALSE",NA,"u'full_bar'","TRUE","u'no'","TRUE","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","TRUE","TRUE","TRUE","TRUE","0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0",NA,"16:0-2:0",853,0
"4",18020,"Jerry's Iga","Champaign","IL","61821",40.1117131,-88.281506,0,"Bakeries, Shopping, Flowers & Gifts, Food, Restaurants, Florists","",NA,NA,NA,NA,NA,NA,NA,"TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","",NA,NA,NA,NA,"","3",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,951,1
"5",171664,"McAlister's Deli","Champaign","IL","61820",40.14166846,-88.25036014,1,"Salad, Delis, Restaurants, Sandwiches, Food","1","'average'","FALSE",NA,"u'none'","TRUE","u'no'","TRUE","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","TRUE","FALSE","TRUE","FALSE","0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","10:30-21:0","10:30-21:0","10:30-21:0","10:30-21:0","10:30-20:0","10:30-21:0",991,1
"6",48070,"Dairy Queen","Rantoul","IL","61866",40.3112989,-88.1428825,1,"Fast Food, Ice Cream & Frozen Yogurt, Restaurants, Food","0",NA,"FALSE",NA,NA,NA,NA,NA,"TRUE",NA,NA,"","FALSE",NA,NA,NA,"0",NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,1529,0
"7",113083,"Kofusion","Urbana","IL","61801",40.10682268,-88.2217281,1,"Restaurants, Asian Fusion, Sushi Bars","1","'average'","TRUE","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}","u'none'","TRUE","u'free'","TRUE","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","0","TRUE","TRUE","FALSE","FALSE","0","2","'casual'",FALSE,NA,"",NA,NA,"","",NA,"1","0",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-20:30","11:0-20:30","11:0-20:30","11:0-20:30","11:0-20:0","11:0-20:0","11:0-20:30",1849,1
"8",164425,"Asian Noodle and Sushi","Champaign","IL","61820",40.098735,-88.247069,1,"Pan Asian, Restaurants, Sushi Bars, Japanese, Noodles","",NA,"TRUE",NA,"u'beer_and_wine'","TRUE","u'free'","TRUE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1",NA,"FALSE","FALSE","FALSE","1",NA,NA,FALSE,NA,"",NA,NA,"","",NA,"1","0",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","16:0-1:0","11:0-1:0",1986,0
"9",115300,"Starbucks","Champaign","IL","61820",40.091617,-88.24614073,1,"Coffee & Tea, Food","",NA,NA,NA,NA,"FALSE","u'free'","TRUE","TRUE",NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"TRUE",NA,"TRUE","","2",NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"5:0-22:0","5:0-22:0","5:0-23:0","5:0-23:0","6:0-22:0","5:0-22:0","5:0-22:0",2153,1
"10",39942,"McDonald's","Urbana","IL","61801",40.11825154,-88.2044307,1,"Restaurants, Fast Food, Food, Burgers, Coffee & Tea","TRUE",NA,"FALSE",NA,"u'none'",NA,NA,"TRUE","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",NA,"TRUE","FALSE","TRUE","TRUE","0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",2555,1
"11",159553,"County Market","Rantoul","IL","61866",40.312897,-88.139857,1,"Food, Grocery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2815,0
"12",43101,"Taco Motorizado","Urbana","IL","61802",40.1186429,-88.2041528,1,"Restaurants, Street Vendors, Mexican, Food","TRUE","u'average'","TRUE","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","u'none'","TRUE","u'no'","TRUE","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,"TRUE","TRUE","FALSE","TRUE","0","1","u'casual'",FALSE,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"10:0-20:0","10:0-20:0","10:0-20:0","10:0-20:0","10:0-20:0",NA,"10:0-20:0",2983,1
"13",184565,"Walnut Street Tea","Champaign","IL","61820",40.11547215,-88.24320216,1,"Herbs & Spices, Food, Coffee & Tea, Specialty Food, Restaurants",NA,NA,NA,NA,NA,"FALSE","u'no'","FALSE","TRUE",NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",NA,NA,"FALSE",NA,"TRUE","","2",NA,FALSE,NA,"",NA,NA,"","",NA,"0","0",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0:0-0:0","10:0-18:0","10:0-18:0","10:0-18:0","10:0-20:0","10:0-14:0","10:0-18:0",3091,0
"14",34894,"El Toro","Saint Joseph","IL","61873",40.1112277,-88.0414944,1,"Mexican, Restaurants","TRUE","u'average'","FALSE",NA,"u'full_bar'","FALSE","'no'","TRUE","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",NA,NA,"TRUE","FALSE","TRUE","FALSE","1","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:0","6:0-22:0","6:0-21:0","11:0-21:30",3210,0
"15",24929,"Monticello Red Wheel Restaurant","Monticello","IL","61856",40.049686,-88.567102,1,"Sports Bars, Restaurants, American (New), Nightlife, Burgers, Vegetarian, Seafood, Bars, Mexican","TRUE","u'average'","FALSE",NA,"u'full_bar'","FALSE","u'free'","TRUE","TRUE","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",NA,"TRUE","FALSE","TRUE","FALSE","1","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"6:0-21:0","6:0-21:0","6:0-21:0","6:0-21:0","6:0-21:0","7:0-20:0","6:0-21:0",3826,0
