"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",177055,"Marco's Pizza","Mentor-on-the-Lake","OH","44060",41.70852,-81.359556,1,"Italian, Restaurants, Pizza, Chicken Wings","1",NA,"1",NA,"u'none'",NA,NA,"1","1","None","None","","1","FALSE","","TRUE","0","2","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"10:0-0:0","10:0-0:0","10:0-0:0","10:0-1:0","10:0-1:0","10:0-0:0","10:0-0:0",12,0
"2",31395,"Baby Cakes","Willoughby","OH","44094",41.6398599,-81.4063963,1,"Bakeries, Food","",NA,"0",NA,NA,NA,NA,"1","1",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","",NA,"",NA,"","1",NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,"11:0-17:0","11:0-20:0","11:0-17:0","10:0-17:0",NA,"11:0-17:0",13,0
"3",170311,"Ohio Beer Garden","North Olmsted","OH","44070",41.41658757,-81.90437007,1,"Restaurants, Pubs, Bars, Nightlife, American (Traditional), Beer Gardens","1","'average'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","u'full_bar'","FALSE","u'free'","0","1","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","1","1","TRUE","1","FALSE","0","1","'casual'",NA,"","","{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","FALSE","0","1",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","16:0-22:0","16:0-22:0","16:0-23:0","15:0-23:0","12:0-20:0",NA,88,1
"4",192016,"B & M Bar-B-Que Shaw","Cleveland","OH","44108",41.5408904,-81.5953266,1,"Barbeque, Restaurants","0",NA,"",NA,NA,NA,NA,"1","",NA,NA,"","",NA,"0",NA,"0","1","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,178,0
"5",13760,"Aladdin's Eatery","Mentor","OH","44060",41.6738589,-81.3228213,1,"Ethnic Food, Specialty Food, Food, Restaurants, Vegetarian, Mediterranean, Middle Eastern","1","u'quiet'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","u'beer_and_wine'","TRUE","u'no'","1","1","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","1","TRUE","1","2","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-21:0","11:0-22:0",193,0
"6",25779,"The Pit","Beachwood","OH","44122",41.4675893,-81.4932632,0,"Barbeque, Restaurants","0",NA,"",NA,"u'full_bar'",NA,NA,"1","TRUE",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","0","FALSE","",NA,"1","2","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,239,1
"7",7576,"Best Friends Restaurant","Mentor","OH","44060",41.683435,-81.339884,0,"Restaurants","1","u'average'","0",NA,NA,NA,NA,"","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","1",NA,"0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,269,0
"8",96427,"Steak ’n Shake","Brunswick","OH","44212",41.23780148,-81.8060022,1,"American (New), Burgers, Diners, Restaurants, Fast Food, Breakfast & Brunch, American (Traditional)","1","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","u'none'",NA,"'free'","1","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","0","TRUE","0","1","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"1",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",310,0
"9",146966,"2 Girls' Cafe & Bakery","Stow","OH","44224",41.1654526,-81.4392963,1,"Food, Restaurants, Bakeries, Cafes","1","u'quiet'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}","u'none'","TRUE","u'free'","1","TRUE","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","0","1","TRUE","1","TRUE","0","1","'casual'",FALSE,NA,"",NA,NA,"","",NA,"1","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0","7:0-19:0",358,0
"10",55552,"Donna's Diner","Elyria","OH","44035",41.367931,-82.105386,0,"Diners, Restaurants","1","u'quiet'","1",NA,"u'none'",NA,"u'free'","1","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","0",NA,"0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,401,0
"11",122069,"Hingetown","Cleveland","OH","44113",41.48934281,-81.7110287,1,"Flowers & Gifts, Art Galleries, Coffee & Tea, Arts & Entertainment, Food, Cafes, Museums, Restaurants, Local Flavor, Shopping Centers, Shopping, Florists","1","u'very_loud'","0",NA,"u'none'","TRUE","u'no'","0","FALSE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","0","0","TRUE","1","FALSE","0","4","u'formal'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0","0:0-0:0",405,0
"12",186368,"Farmer Boy","Akron","OH","44310",41.113789,-81.496875,1,"American (New), Restaurants","1","u'average'","0",NA,"u'none'","FALSE","'no'","1","TRUE","{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","","1","FALSE","0","TRUE","0","1","u'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,437,0
