"","business_id","name","city","state","postal_code","latitude","longitude","is_open","categories","attributes.GoodForKids","attributes.NoiseLevel","attributes.RestaurantsDelivery","attributes.GoodForMeal","attributes.Alcohol","attributes.Caters","attributes.WiFi","attributes.RestaurantsTakeOut","attributes.BusinessAcceptsCreditCards","attributes.Ambience","attributes.BusinessParking","attributes.RestaurantsTableService","attributes.RestaurantsGoodForGroups","attributes.OutdoorSeating","attributes.HasTV","attributes.BikeParking","attributes.RestaurantsReservations","attributes.RestaurantsPriceRange2","attributes.RestaurantsAttire","attributes.BusinessAcceptsBitcoin","attributes.ByAppointmentOnly","attributes.AcceptsInsurance","attributes.Music","attributes.GoodForDancing","attributes.CoatCheck","attributes.HappyHour","attributes.BestNights","attributes.WheelchairAccessible","attributes.DogsAllowed","attributes.BYOBCorkage","attributes.DriveThru","attributes.Smoking","attributes.AgesAllowed","attributes.HairSpecializesIn","attributes.Corkage","attributes.BYOB","attributes.DietaryRestrictions","attributes.Open24Hours","attributes.RestaurantsCounterService","hours.Monday","hours.Wednesday","hours.Thursday","hours.Friday","hours.Saturday","hours.Sunday","hours.Tuesday","order","circle"
"1",24340,"Marathon Diner","Pittsburgh","PA","15231",40.49617695,-80.24601124,1,"Sandwiches, Salad, Restaurants, Burgers, Comfort Food","1",NA,"0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",NA,NA,NA,"1","1","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","0",NA,"0","1",NA,NA,"","",NA,NA,"","",NA,"","",NA,"0",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0
"2",184313,"Apteka","Pittsburgh","PA","15224",40.4656937,-79.9493238,1,"Nightlife, Bars, Polish, Modern European, Restaurants, Vegan","0","u'average'","0","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}","u'full_bar'","TRUE","u'free'","1","1","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","0","1","FALSE","0","TRUE","0","2","u'casual'",FALSE,"","","{'dj': False, 'background_music': True, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}","FALSE","0","1","{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': False}","1","",NA,"","u'no'",NA,NA,NA,NA,"",NA,NA,NA,"17:0-0:0","17:0-0:0","17:0-0:0","17:0-0:0","17:0-0:0",NA,54,0
"3",55349,"No. 1 Sushi Sushi","Pittsburgh","PA","15222",40.441062,-80.002126,1,"Japanese, Sushi Bars, Restaurants","1","'average'","0","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}","'none'","TRUE","'no'","1","1","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","1","0","FALSE","1","TRUE","0","2","'casual'",NA,"","",NA,NA,"","",NA,"1","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0",NA,NA,"11:0-20:0",60,1
"4",16100,"PA Wine & Spirits Store","Wexford","PA","15090",40.6320526,-80.0564758,1,"Beer, Wine & Spirits, Food","",NA,"",NA,NA,NA,NA,"1","1",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","",NA,"","FALSE","","2",NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,82,0
"5",113186,"Impressionz","Pittsburgh","PA","15206",40.46234541,-79.92416516,0,"Restaurants, Caribbean","1","u'average'","0",NA,"u'none'","FALSE","u'no'","1","0","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}","{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","1","FALSE","0","TRUE","0","2","u'casual'",NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"11:0-20:0","11:0-20:0","11:0-20:0","11:0-21:0","11:0-21:0",NA,"11:0-20:0",116,1
"6",59655,"Subway","Pittsburgh","PA","15219",40.4428627,-79.996412,1,"Fast Food, Sandwiches, Restaurants","1",NA,"0",NA,"u'none'",NA,NA,"1","1",NA,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","",NA,"",NA,"0","1",NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,142,1
"7",98565,"Today's Market","Oakmont","PA","15139",40.5194397,-79.8423011,1,"Food, Specialty Food, Health Markets","",NA,"",NA,NA,NA,NA,"","1",NA,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}","","",NA,"","TRUE","","3",NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,"10:0-20:0","10:0-18:0","10:0-20:0","10:0-18:0","10:0-18:0","11:0-11:15","10:0-18:0",152,0
"8",58597,"Ron's Pizza Palace","Pittsburgh","PA","15212",40.4620076,-79.9838041,1,"Restaurants, Pizza","1","u'quiet'","1",NA,"u'none'","FALSE","u'no'","1","1","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","0","FALSE","0",NA,"0","1",NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,231,0
"9",46144,"Route 28 Bar & Grille","Pittsburgh","PA","15238",40.5015563,-79.8606291,1,"Bars, Nightlife, Restaurants, American (Traditional)","0","u'average'","","{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}","u'full_bar'","TRUE",NA,"1","TRUE","{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","1","1","TRUE","","TRUE","1","2","u'casual'",NA,NA,"","{'dj': True, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': True}","TRUE","","1",NA,"","",NA,"","u'outdoor'",NA,NA,NA,NA,"",NA,NA,"11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","12:0-23:0","11:0-23:0",238,0
"10",16041,"Table Brick Oven & Bar","Murrysville","PA","15632",40.42184811,-79.66102839,0,"Nightlife, Bars, American (New), Restaurants, American (Traditional)","0","'average'","0",NA,"'full_bar'",NA,NA,"1","TRUE","{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}","","1","TRUE","1","FALSE","1","2","'casual'",NA,NA,"",NA,NA,"","",NA,"","",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,254,0
