,Unnamed: 0,business_id,name,city,state,postal_code,latitude,longitude,is_open,categories,attributes.GoodForKids,attributes.NoiseLevel,attributes.RestaurantsDelivery,attributes.GoodForMeal,attributes.Alcohol,attributes.Caters,attributes.WiFi,attributes.RestaurantsTakeOut,attributes.BusinessAcceptsCreditCards,attributes.Ambience,attributes.BusinessParking,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.OutdoorSeating,attributes.HasTV,attributes.BikeParking,attributes.RestaurantsReservations,attributes.RestaurantsPriceRange2,attributes.RestaurantsAttire,attributes.BusinessAcceptsBitcoin,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.Music,attributes.GoodForDancing,attributes.CoatCheck,attributes.HappyHour,attributes.BestNights,attributes.WheelchairAccessible,attributes.DogsAllowed,attributes.BYOBCorkage,attributes.DriveThru,attributes.Smoking,attributes.AgesAllowed,attributes.HairSpecializesIn,attributes.Corkage,attributes.BYOB,attributes.DietaryRestrictions,attributes.Open24Hours,attributes.RestaurantsCounterService,hours.Monday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday,hours.Tuesday,order,circle
63,64,77221,Wendy's,Calgary,AB,T3B 4T1,51.0841577,-114.2081831,1,"Burgers, Fast Food, Restaurants",TRUE,u'average',FALSE,,u'none',FALSE,'free',TRUE,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,0,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,3524,0
286,287,9964,Wendy's,Calgary,AB,T2N 2V2,51.06920181,-114.1300911,0,"Fast Food, Shopping Centers, Shopping, Restaurants, Burgers",TRUE,,FALSE,,,,,TRUE,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,10:0-23:0,17971,0
358,359,23861,Wendy's,Calgary,AB,T2A 6K3,51.055853,-113.982475,1,"Burgers, Fast Food, Restaurants",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',FALSE,'no',TRUE,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,22740,1
547,548,153111,Wendy's,Calgary,AB,T3C 3R1,51.038604,-114.1408,1,"Restaurants, Fast Food, Burgers",TRUE,u'average',FALSE,,u'none',FALSE,u'free',TRUE,,None,None,,TRUE,FALSE,FALSE,TRUE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,34515,0
1136,1137,142601,Wendy's,Calgary,AB,T2H 0L8,50.989885,-114.0725412,1,"Burgers, Restaurants, Fast Food",TRUE,u'average',FALSE,,u'none',FALSE,'no',TRUE,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,FALSE,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,73235,0
1145,1146,33778,Wendy's,Calgary,AB,T2H 3A7,50.9877393,-114.0446912,1,"Fast Food, Restaurants, Burgers",TRUE,,FALSE,,'none',,,TRUE,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,TRUE,FALSE,FALSE,FALSE,FALSE,2,'casual',,,,,,,,,,,,,,,,,,,,,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,74026,0
1258,1259,104492,Wendy's,Calgary,AB,T3J 5H3,51.1084018,-113.9677864,1,"Burgers, Fast Food, Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81748,0
1326,1327,109389,Wendy's,Calgary,AB,T1Y 6K9,51.081863,-113.9988377,1,"Fast Food, Burgers, Restaurants",FALSE,,FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'none',,,FALSE,,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,,FALSE,1,'casual',,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,86787,1
1470,1471,105598,Wendy's,Calgary,AB,T3G 3T2,51.12744534,-114.1971834,1,"Burgers, Fast Food, Restaurants",TRUE,u'average',FALSE,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'none',FALSE,'free',TRUE,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,TRUE,,FALSE,1,u'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,95970,1
1514,1515,190374,Wendy's,Calgary,AB,T2H 0P4,51.0019123,-114.0544215,1,"Restaurants, Fast Food, Burgers",TRUE,u'average',FALSE,,'none',FALSE,'no',TRUE,,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}","{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,TRUE,FALSE,FALSE,TRUE,FALSE,1,'casual',,,,,,,,,,,,,,,,,,,,,,,,,,,,99035,0
